accession,model,latitude,longitude,place,execution_time
SAMN38737700,qwen3:8b,,,NA,4.30
SAMN02688369,qwen3:8b,38.5337904,-121.7907544,"UC Davis, CA",30.72
SAMEA7280954,qwen3:8b,,,NA,50.02
SAMEA6841538,qwen3:8b,52.2055314,0.1186637,"Cambridge, UK",26.06
SAMN27067961,qwen3:8b,,,NA,50.05
SAMN29164184,qwen3:8b,-6.8699697,-75.0458515,Peru,22.86
SAMN33419191,qwen3:8b,,,NA,5.34
SAMN35154235,qwen3:8b,,,NA,5.84
SAMEA6018323,qwen3:8b,19.8934333333333,131.480216666667,"19.8934333333333,131.480216666667",19.43
SAMEA6018323,qwen3:8b,19.8212666666667,131.649133333333,"19.8212666666667,131.649133333333",19.43
SAMEA111501186,qwen3:8b,78.7508,33.9978,"78.7508,33.9978",34.52
SAMN07821191,qwen3:8b,41.8026095,123.4279105,"Shenyang, China",30.94
SAMEA104420194,qwen3:8b,,,NA,5.08
SAMEA112805924,qwen3:8b,,,NA,50.02
SAMEA104446808,qwen3:8b,,,NA,50.01
SAMN19761294,qwen3:8b,,,NA,6.32
SAMN31284615,qwen3:8b,,,NA,5.67
SAMN21498129,deepseek-r1:latest,,,NA,0.54
SAMN14327956,deepseek-r1:latest,,,NA,0.53
SAMN38737700,deepseek-r1:latest,,,NA,0.53
SAMN08032533,deepseek-r1:latest,,,NA,0.52
SAMN02688369,deepseek-r1:latest,,,NA,0.51
SAMEA7280954,deepseek-r1:latest,,,NA,0.54
SAMEA6841538,deepseek-r1:latest,,,NA,0.53
SAMN27067961,deepseek-r1:latest,,,NA,0.54
SAMN29164184,deepseek-r1:latest,,,NA,0.69
SAMN33419191,deepseek-r1:latest,,,NA,0.53
SAMN35154235,deepseek-r1:latest,,,NA,0.53
SAMEA6018323,deepseek-r1:latest,,,NA,0.53
SAMEA111501186,deepseek-r1:latest,,,NA,0.52
SAMN07821191,deepseek-r1:latest,,,NA,0.53
SAMEA104420194,deepseek-r1:latest,,,NA,0.53
SAMEA112805924,deepseek-r1:latest,,,NA,0.54
SAMEA104446808,deepseek-r1:latest,,,NA,0.54
SAMN19761294,deepseek-r1:latest,,,NA,0.51
SAMN31284615,deepseek-r1:latest,,,NA,0.53
SAMN21498129,mistral-nemo:latest,23.1301964,113.2592945,Guangzhou,16.79
SAMN14327956,mistral-nemo:latest,42.2942142,-83.7100389,University of Michigan,2.06
SAMN38737700,mistral-nemo:latest,40.7127281,-74.0060152,"New York, USA",2.11
SAMN02688369,mistral-nemo:latest,38.5435526,-121.739005,"Davis, California",2.36
SAMEA7280954,mistral-nemo:latest,44.3611931,5.1408743,"Nyons, France",2.06
SAMEA6841538,mistral-nemo:latest,52.2055314,0.1186637,Cambridge,1.94
SAMN27067961,mistral-nemo:latest,-20.2759451,57.5703566,Mauritius,1.84
SAMN29164184,mistral-nemo:latest,-6.8699697,-75.0458515,Peru,1.74
SAMN33419191,mistral-nemo:latest,40.7127281,-74.0060152,"New York, USA",2.31
SAMEA6018323,mistral-nemo:latest,25.1317232,121.744652,Keelung,2.35
SAMN07821191,mistral-nemo:latest,41.8026095,123.4279105,Shenyang,1.77
SAMEA104420194,mistral-nemo:latest,40.7127281,-74.0060152,"New York, USA",2.18
SAMEA104446808,mistral-nemo:latest,24.4984741,118.1276815,Taiwan street,2.05
SAMN19761294,mistral-nemo:latest,36.0663249,120.3777659,Qingdao,1.65
SAMN31284615,mistral-nemo:latest,40.7127281,-74.0060152,New York,1.93
SAMN21498129,granite3.1-moe:3b,,,NA,3.93
SAMN14327956,granite3.1-moe:3b,,,NA,1.41
SAMN38737700,granite3.1-moe:3b,,,NA,1.26
SAMN08032533,granite3.1-moe:3b,,,NA,1.51
SAMN02688369,granite3.1-moe:3b,,,NA,1.59
SAMEA7280954,granite3.1-moe:3b,,,NA,1.51
SAMEA6841538,granite3.1-moe:3b,,,NA,1.39
SAMN27067961,granite3.1-moe:3b,,,NA,1.53
SAMN29164184,granite3.1-moe:3b,,,NA,1.54
SAMN33419191,granite3.1-moe:3b,,,NA,1.63
SAMN35154235,granite3.1-moe:3b,,,NA,1.08
SAMEA6018323,granite3.1-moe:3b,,,NA,1.74
SAMEA111501186,granite3.1-moe:3b,,,NA,1.26
SAMN07821191,granite3.1-moe:3b,,,NA,1.12
SAMEA104420194,granite3.1-moe:3b,,,NA,1.14
SAMEA112805924,granite3.1-moe:3b,,,NA,1.27
SAMEA104446808,granite3.1-moe:3b,,,NA,1.48
SAMN19761294,granite3.1-moe:3b,,,NA,1.35
SAMN31284615,granite3.1-moe:3b,,,NA,1.64
SAMN21498129,phi4-mini:3.8b,,,NA,8.39
SAMN14327956,phi4-mini:3.8b,,,NA,1.99
SAMN38737700,phi4-mini:3.8b,,,NA,2.27
SAMN08032533,phi4-mini:3.8b,,,NA,3.32
SAMN02688369,phi4-mini:3.8b,,,NA,2.14
SAMEA7280954,phi4-mini:3.8b,,,NA,2.48
SAMEA6841538,phi4-mini:3.8b,,,NA,3.01
SAMN27067961,phi4-mini:3.8b,,,NA,1.42
SAMN29164184,phi4-mini:3.8b,,,NA,3.05
SAMN33419191,phi4-mini:3.8b,,,NA,1.02
SAMN35154235,phi4-mini:3.8b,,,NA,1.29
SAMEA6018323,phi4-mini:3.8b,,,NA,2.69
SAMEA111501186,phi4-mini:3.8b,,,NA,4.62
SAMN07821191,phi4-mini:3.8b,,,NA,1.90
SAMEA104420194,phi4-mini:3.8b,,,NA,1.09
SAMEA112805924,phi4-mini:3.8b,,,NA,3.10
SAMEA104446808,phi4-mini:3.8b,,,NA,4.05
SAMN19761294,phi4-mini:3.8b,,,NA,2.56
SAMN31284615,phi4-mini:3.8b,,,NA,2.31
SAMN21498129,llama3-groq-tool-use:8b,,,NA,6.72
SAMN14327956,llama3-groq-tool-use:8b,,,NA,1.86
SAMN38737700,llama3-groq-tool-use:8b,,,NA,1.77
SAMN08032533,llama3-groq-tool-use:8b,,,NA,1.86
SAMN02688369,llama3-groq-tool-use:8b,,,NA,1.65
SAMEA7280954,llama3-groq-tool-use:8b,,,NA,1.77
SAMEA6841538,llama3-groq-tool-use:8b,,,NA,1.73
SAMN27067961,llama3-groq-tool-use:8b,,,NA,1.44
SAMN29164184,llama3-groq-tool-use:8b,,,NA,1.45
SAMN33419191,llama3-groq-tool-use:8b,,,NA,1.70
SAMN35154235,llama3-groq-tool-use:8b,,,NA,1.62
SAMEA6018323,llama3-groq-tool-use:8b,,,NA,1.88
SAMEA111501186,llama3-groq-tool-use:8b,,,NA,1.94
SAMN07821191,llama3-groq-tool-use:8b,,,NA,1.37
SAMEA104420194,llama3-groq-tool-use:8b,,,NA,1.69
SAMEA112805924,llama3-groq-tool-use:8b,,,NA,1.69
SAMEA104446808,llama3-groq-tool-use:8b,,,NA,2.01
SAMN19761294,llama3-groq-tool-use:8b,,,NA,1.34
SAMN31284615,llama3-groq-tool-use:8b,,,NA,1.78
